id,title,views,year,length,likes,dislikes
0,ACZINO vs EXODO LIRICAL,577503,2020,00:06:16,14040,270
1,EXODO LIRICAL vs RAPDER,238463,2020,00:12:30,8135,927
2,ACZINO vs SKONE,756352,2020,00:10:06,18458,1146
3,RAPDER vs YARTZI,47082,2020,00:06:46,1822,206
4,EXODO LIRICAL vs BNET,685109,2020,00:06:40,23202,1842
5,SKONE vs ACERTIJO,179664,2020,00:09:36,5341,4847
6,ACZINO vs NAICEN,158269,2020,00:06:51,5507,1713
7,SKONE vs RAPDER,1651540,2020,00:15:19,64965,3259
8,ELEVN vs YARTZI,56480,2020,00:06:30,2041,131
9,RAPDER vs STICK,122237,2020,00:06:21,4389,2710
10,BNET vs VALLES-T - Octavos | Red Bull Internacional 2020,1350908,2020,00:09:08,49448,3012
11,EXODO LIRICAL vs MAC,105707,2020,00:06:13,5319,254
12,ACERTIJO vs MINOS,57738,2020,00:06:24,2530,55
13,SKONE vs TATA,436674,2020,00:06:36,12055,17890
14,NAICEN vs SNK,66128,2020,00:06:44,3196,200
15,ACZINO vs SHIELD MASTER,154369,2020,00:06:51,5439,471
16,TRUENO vs ACZINO,12731892,2019,00:06:19,215962,5576
17,BNET vs VALLES-T - Final | Red Bull Internacional 2019,16680349,2019,00:17:12,282481,32957
18,TRUENO vs TITO MC,2082852,2019,00:05:51,43267,3996
19,VALLES-T vs CHANG - Octavos | Red Bull Internacional 2019,11477492,2019,00:06:43,161561,2969
20,FRANCO vs YARTZI,1025957,2019,00:07:12,20451,252
21,LOBO ESTEPARIO vs ZASKO MASTER,4441372,2019,00:10:44,70567,2419
22,JAZE vs SNK,1407134,2019,00:07:06,28687,890
23,JOKKER vs LITZEN,2546416,2019,00:09:46,40625,900
24,SNK vs ZASKO MASTER,588253,2019,00:06:02,14385,583
25,VALLES-T vs JOKKER - Cuartos | Red Bull Internacional 2019,3221089,2019,00:06:21,48888,1155
26,SNK vs ACZINO,1204854,2019,00:06:58,24243,473
